epoch,eval_accuracy,eval_loss,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_model_preparation_time,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step
0.032,,,,,,,,,,6.601718902587891,3.103448275862069e-06,0.9977,10
0.064,,,,,,,,,,2.803311586380005,6.551724137931035e-06,0.8214,20
0.096,,,,,,,,,,5.442375659942627,1e-05,1.0,30
0.128,,,,,,,,,,6.636508941650391,9.890109890109892e-06,1.0514,40
0.16,,,,,,,,,,8.939299583435059,9.780219780219781e-06,1.1612,50
0.192,,,,,,,,,,5.778478622436523,9.670329670329671e-06,0.8642,60
0.224,,,,,,,,,,2.7734382152557373,9.560439560439562e-06,0.9184,70
0.256,,,,,,,,,,5.226126194000244,9.450549450549452e-06,0.8212,80
0.288,,,,,,,,,,3.809424638748169,9.340659340659341e-06,0.7846,90
0.32,,,,,,,,,,3.328685760498047,9.230769230769232e-06,0.5936,100
0.352,,,,,,,,,,3.780364751815796,9.120879120879122e-06,0.8143,110
0.384,,,,,,,,,,2.947101593017578,9.010989010989011e-06,0.7634,120
0.416,,,,,,,,,,3.7182862758636475,8.9010989010989e-06,0.6325,130
0.448,,,,,,,,,,7.01339864730835,8.791208791208792e-06,0.5548,140
0.48,,,,,,,,,,4.487399101257324,8.681318681318681e-06,0.5868,150
0.512,,,,,,,,,,2.993556261062622,8.571428571428571e-06,0.746,160
0.544,,,,,,,,,,6.977790832519531,8.461538461538462e-06,0.8037,170
0.576,,,,,,,,,,2.8120992183685303,8.351648351648353e-06,0.7628,180
0.608,,,,,,,,,,3.0682711601257324,8.241758241758243e-06,0.688,190
0.64,,,,,,,,,,4.3234543800354,8.131868131868132e-06,0.821,200
0.672,,,,,,,,,,3.1475131511688232,8.021978021978023e-06,0.6246,210
0.704,,,,,,,,,,4.247919082641602,7.912087912087913e-06,0.8313,220
0.736,,,,,,,,,,4.311252593994141,7.802197802197802e-06,0.7654,230
0.768,,,,,,,,,,4.408432960510254,7.692307692307694e-06,0.5936,240
0.8,,,,,,,,,,5.275631904602051,7.582417582417583e-06,0.75,250
0.8,0.7077077077077077,0.71988844871521,0.713377843155406,0.7380562534118944,0.7077077077077077,0.0081,71.1218,14.046,3.515,,,,250
0.832,,,,,,,,,,2.320199489593506,7.472527472527473e-06,0.536,260
0.864,,,,,,,,,,5.854602813720703,7.362637362637364e-06,0.6418,270
0.896,,,,,,,,,,1.9633930921554565,7.252747252747253e-06,0.406,280
0.928,,,,,,,,,,3.377883195877075,7.1428571428571436e-06,0.5635,290
0.96,,,,,,,,,,2.76094126701355,7.032967032967034e-06,0.7497,300
0.992,,,,,,,,,,3.6288323402404785,6.923076923076923e-06,0.6154,310
1.0224,,,,,,,,,,4.752693176269531,6.813186813186814e-06,0.7547,320
1.0544,,,,,,,,,,2.4332733154296875,6.703296703296703e-06,0.6714,330
1.0864,,,,,,,,,,2.9424984455108643,6.5934065934065935e-06,0.5898,340
1.1184,,,,,,,,,,5.424760818481445,6.483516483516485e-06,0.5425,350
1.1504,,,,,,,,,,2.5598716735839844,6.373626373626373e-06,0.5763,360
1.1824,,,,,,,,,,4.768824100494385,6.2637362637362645e-06,0.5774,370
1.2144,,,,,,,,,,3.679344415664673,6.153846153846155e-06,0.4716,380
1.2464,,,,,,,,,,5.471094131469727,6.043956043956044e-06,0.5752,390
1.2784,,,,,,,,,,3.8428566455841064,5.934065934065935e-06,0.6569,400
1.3104,,,,,,,,,,3.187272071838379,5.824175824175825e-06,0.7289,410
1.3424,,,,,,,,,,4.4323530197143555,5.7142857142857145e-06,0.6866,420
1.3744,,,,,,,,,,1.508162498474121,5.604395604395605e-06,0.5966,430
1.4064,,,,,,,,,,3.8124849796295166,5.494505494505495e-06,0.5563,440
1.4384000000000001,,,,,,,,,,3.294498920440674,5.384615384615385e-06,0.5551,450
1.4704,,,,,,,,,,3.9641411304473877,5.274725274725275e-06,0.6833,460
1.5024,,,,,,,,,,2.7019660472869873,5.164835164835166e-06,0.5195,470
1.5344,,,,,,,,,,3.9245197772979736,5.054945054945055e-06,0.6353,480
1.5664,,,,,,,,,,2.946680784225464,4.945054945054946e-06,0.6537,490
1.5984,,,,,,,,,,1.9917248487472534,4.8351648351648355e-06,0.5728,500
1.5984,0.7137137137137137,0.6937039494514465,0.7198127770021855,0.7454215798071976,0.7137137137137137,0.0081,61.1837,16.328,4.086,,,,500
1.6303999999999998,,,,,,,,,,3.0978846549987793,4.725274725274726e-06,0.6965,510
1.6623999999999999,,,,,,,,,,5.199733734130859,4.615384615384616e-06,0.7053,520
1.6944,,,,,,,,,,3.630199670791626,4.505494505494506e-06,0.5362,530
1.7264,,,,,,,,,,2.9885547161102295,4.395604395604396e-06,0.5953,540
1.7584,,,,,,,,,,4.298717021942139,4.2857142857142855e-06,0.6844,550
1.7904,,,,,,,,,,2.778900146484375,4.175824175824177e-06,0.5645,560
1.8224,,,,,,,,,,4.760946750640869,4.065934065934066e-06,0.4908,570
1.8544,,,,,,,,,,2.0579593181610107,3.9560439560439565e-06,0.4274,580
1.8864,,,,,,,,,,3.406837224960327,3.846153846153847e-06,0.5938,590
1.9184,,,,,,,,,,4.759500503540039,3.7362637362637367e-06,0.744,600
1.9504000000000001,,,,,,,,,,4.613217353820801,3.6263736263736266e-06,0.4529,610
1.9824000000000002,,,,,,,,,,3.7313177585601807,3.516483516483517e-06,0.6028,620
2.0128,,,,,,,,,,2.0264158248901367,3.406593406593407e-06,0.5659,630
2.0448,,,,,,,,,,3.904090404510498,3.2967032967032968e-06,0.6501,640
2.0768,,,,,,,,,,2.771920919418335,3.1868131868131867e-06,0.5425,650
2.1088,,,,,,,,,,3.082683801651001,3.0769230769230774e-06,0.4233,660
2.1408,,,,,,,,,,3.003068685531616,2.9670329670329673e-06,0.5261,670
2.1728,,,,,,,,,,2.712078809738159,2.8571428571428573e-06,0.5968,680
2.2048,,,,,,,,,,2.553175926208496,2.7472527472527476e-06,0.4547,690
2.2368,,,,,,,,,,4.255326747894287,2.6373626373626375e-06,0.5241,700
2.2688,,,,,,,,,,4.3838629722595215,2.5274725274725274e-06,0.6748,710
2.3008,,,,,,,,,,3.4105803966522217,2.4175824175824177e-06,0.5606,720
2.3327999999999998,,,,,,,,,,3.5220184326171875,2.307692307692308e-06,0.6055,730
2.3648,,,,,,,,,,2.7287650108337402,2.197802197802198e-06,0.4812,740
2.3968,,,,,,,,,,1.8853741884231567,2.0879120879120883e-06,0.4673,750
2.3968,0.7087087087087087,0.6715325713157654,0.7150087180145414,0.7341231867547657,0.7087087087087086,0.0081,73.4144,13.608,3.405,,,,750
2.4288,,,,,,,,,,8.791484832763672,1.9780219780219782e-06,0.5666,760
2.4608,,,,,,,,,,3.794445037841797,1.8681318681318684e-06,0.6817,770
2.4928,,,,,,,,,,2.2436389923095703,1.7582417582417585e-06,0.7927,780
2.5248,,,,,,,,,,3.256251096725464,1.6483516483516484e-06,0.6348,790
2.5568,,,,,,,,,,3.660342216491699,1.5384615384615387e-06,0.541,800
2.5888,,,,,,,,,,4.00647497177124,1.4285714285714286e-06,0.5335,810
2.6208,,,,,,,,,,3.690070152282715,1.3186813186813187e-06,0.5497,820
2.6528,,,,,,,,,,4.58045768737793,1.2087912087912089e-06,0.5419,830
2.6848,,,,,,,,,,3.2103676795959473,1.098901098901099e-06,0.4571,840
2.7168,,,,,,,,,,3.385152578353882,9.890109890109891e-07,0.5839,850
2.7488,,,,,,,,,,2.0435094833374023,8.791208791208792e-07,0.7079,860
2.7808,,,,,,,,,,1.6571581363677979,7.692307692307694e-07,0.4964,870
2.8128,,,,,,,,,,4.784060955047607,6.593406593406594e-07,0.6073,880
2.8448,,,,,,,,,,5.192418575286865,5.494505494505495e-07,0.7123,890
2.8768000000000002,,,,,,,,,,6.6681108474731445,4.395604395604396e-07,0.6708,900
2.9088000000000003,,,,,,,,,,1.9396564960479736,3.296703296703297e-07,0.5736,910
2.9408,,,,,,,,,,6.716716766357422,2.197802197802198e-07,0.6395,920
2.9728,,,,,,,,,,2.2306313514709473,1.098901098901099e-07,0.5942,930
